"","x1","x2","x3","x4","y1","y2","y3","y4"
"1",18.597,6.261,4.032,0.215,-0.099,32.58,36.43,1.038
"2",20.136,6.725,4.723,0.652,-0.154,29.622,32.385,1.057
"3",25.007,8.081,7.287,1.787,-0.099,44.946,24.164,1.078
"4",23.695,7.46,6.567,1.543,0.131,46.53,18.284,1.069
"5",25.209,7.955,7.296,1.792,0.136,50.333,17.888,1.095
"6",20.289,7.719,4.866,0.239,-0.559,2.054,8.786,1.081
"7",24.793,8.123,7.202,1.703,-0.015,40.158,42.074,1.066
"8",19.542,6.601,4.479,0.513,0.03,39.756,21.072,1.05
"9",17.163,7.086,3.396,-0.236,-0.415,3.018,5.855,1.033
"10",23.846,7.639,6.615,1.56,0.09,48.632,13.977,1.07
"11",16.294,6.572,3.017,-0.478,-0.694,1.515,81.988,0.998
"12",25.052,8.287,7.332,1.773,-0.015,42.958,33.636,1.085
"13",24.56,7.854,7.02,1.701,0.217,53.458,0.511,1.122
"14",18.72,6.455,4.072,0.372,-0.188,28.027,39.243,1.042
"15",19.346,6.572,4.358,0.432,-0.242,23.889,49.08,1.042
"16",24.197,7.794,6.833,1.583,0.131,49.025,17.494,1.088
"17",25.166,7.913,7.211,1.813,0.314,56.627,2.925,1.118
"18",26.194,8.454,7.816,2.145,0.289,56.755,0.407,1.113
"19",19.422,6.615,4.382,0.432,-0.271,29.415,33.775,1.033
"20",23.113,7.288,6.329,1.513,0.131,46.266,23.893,1.076
"21",20.289,7.437,4.859,0.47,-0.324,17.639,28.934,1.07
"22",18.769,6.335,4.089,0.47,0.07,40.893,21.473,1.049
"23",26.119,8.222,7.771,1.946,0.08,49.025,27.7,1.097
"24",21.183,7.156,5.388,0.924,-0.188,51.898,19.209,1.064
"25",24.303,7.775,6.861,1.583,0.207,48.894,23.219,1.081
"26",24.941,7.929,7.286,1.703,0,46.398,18.416,1.075
"27",19.436,6.387,4.404,0.519,-0.09,31.827,29.209,1.05
"28",16.74,6.168,3.201,0.104,-0.154,35.917,29.346,1.033
"29",21.206,6.979,5.237,0.871,0.015,35.713,36.851,1.064
"30",20.449,6.795,4.912,0.577,-0.07,32.991,36.57,1.049
"31",21.115,7.913,6.557,0.928,0.397,58.429,1.147,1.129
"32",19.813,6.775,4.604,0.637,-0.232,26.492,40.939,1.042
"33",18.441,6.652,3.946,0.14,-0.672,3.448,76.878,1.02
"34",22.007,8.259,7.322,1.169,0.381,60.993,0,1.118
"35",24.174,7.877,6.826,1.692,0.055,45.475,21.072,1.076
"36",24.741,7.996,7.152,1.728,0.07,49.287,23.354,1.092
"37",17.433,5.948,3.486,0.104,0,36.187,25.927,1.022
"38",19.06,6.447,4.246,0.358,-0.247,28.375,41.364,1.044
"39",20.709,6.779,5.06,0.742,0.025,39.22,30.586,1.053
"40",25.2,8.27,7.356,1.785,0.01,43.821,27.29,1.087
"41",18.589,6.531,3.989,0.336,-0.149,30.658,35.73,1.033
"42",18.708,6.271,3.978,0.457,-0.015,32.649,31.554,1.038
"43",16.441,6.315,2.997,-0.4,-0.605,2.845,84.554,1.008
"44",21.312,7.039,5.326,0.932,-0.03,35.239,36.991,1.057
"45",21.875,7.336,5.762,1.068,-0.173,48.436,26.88,1.065
"46",25.444,8.045,7.477,1.847,0.176,44.218,26.88,1.09
"47",19.323,6.55,4.404,0.588,-0.109,27.749,38.538,1.036
"48",23.699,7.593,6.609,1.482,0.151,43.887,33.775,1.082
"49",24.17,7.766,6.846,1.615,0.156,45.673,29.622,1.07
"50",25.674,8.208,7.534,2.046,0.202,56.111,0.407,1.104
"51",25.93,8.1,7.669,2.037,0.273,53.847,2.023,1.111
"52",19.116,6.512,4.299,0.588,0.055,35.103,31.139,1.042
"53",24.822,8.041,7.129,1.721,0.015,49.025,18.284,1.073
